dataset,model,n_regimes_requested,n_regimes_final,lag,lambda_sparse,seed,regime,total_edges,inst_edges,inst_avg_weight,regime_collapsed,lag1_edges,lag1_avg_weight,lag2_edges,lag2_avg_weight,lag3_edges,lag3_avg_weight
FR,fantom,2,1,2,5.0,789,0,1498,0,0.0,True,762,1.0,736.0,1.0,,
DE,fantom,4,2,2,50.0,42,0,16,3,1.0,True,7,1.0,6.0,1.0,,
DE,fantom,4,2,2,50.0,42,1,1,0,0.0,True,0,0.0,1.0,1.0,,
FR,fantom,2,1,1,5.0,789,0,1334,0,0.0,True,1334,1.0,,,,
DE,fantom,2,1,1,1.0,42,0,2465,0,0.0,True,2465,1.0,,,,
FR,fantom,4,1,3,50.0,42,0,385,0,0.0,True,197,1.0,107.0,1.0,81.0,1.0
DE,fantom,4,1,3,5.0,42,0,359,34,1.0,True,110,1.0,118.0,1.0,97.0,1.0
DE,fantom,4,1,3,10.0,42,0,259,33,1.0,True,82,1.0,75.0,1.0,69.0,1.0
DE_FR,fantom,4,1,3,50.0,42,0,170,0,0.0,True,85,1.0,55.0,1.0,30.0,1.0
DE,fantom,4,1,3,1.0,42,0,546,34,1.0,True,170,1.0,168.0,1.0,174.0,1.0
FR,fantom,3,1,1,1.0,42,0,2495,0,0.0,True,2495,1.0,,,,
DE,fantom,3,1,1,1.0,42,0,3142,0,0.0,True,3142,1.0,,,,
DE,fantom,3,1,1,5.0,42,0,1238,0,0.0,True,1238,1.0,,,,
DE,fantom,3,1,3,10.0,42,0,305,34,1.0,True,97,1.0,95.0,1.0,79.0,1.0
FR,fantom,3,1,2,5.0,42,0,2512,0,0.0,True,1241,1.0,1271.0,1.0,,
DE,fantom,3,1,2,1.0,42,0,405,33,1.0,True,179,1.0,193.0,1.0,,
DE,fantom,3,1,1,5.0,789,0,1135,0,0.0,True,1135,1.0,,,,
FR,fantom,3,1,2,10.0,42,0,943,0,0.0,True,538,1.0,405.0,1.0,,
FR,fantom,3,1,3,10.0,42,0,1529,0,0.0,True,497,1.0,532.0,1.0,500.0,1.0
DE,fantom,3,1,1,10.0,42,0,772,0,0.0,True,772,1.0,,,,
DE,fantom,3,1,3,5.0,42,0,379,30,1.0,True,116,1.0,127.0,1.0,106.0,1.0
FR,fantom,3,1,1,5.0,123,0,1492,0,0.0,True,1492,1.0,,,,
FR,fantom,3,1,1,10.0,42,0,491,0,0.0,True,491,1.0,,,,
FR,fantom,3,1,1,5.0,42,0,1560,0,0.0,True,1560,1.0,,,,
